word,valence,arousal,dominance,Publication,Political Compass/Theme
liquid,0.6378504673195257,0.4837049742776318,0.5533980583061551,The Daily Express,Right-Wing
rule,0.448598130862084,0.452830188682158,0.572815533987652,The Daily Express,Right-Wing
british,0.6290887850761255,0.555102915967165,0.4872572815521609,The BBC,Centrist
helicopter,0.682242990732815,0.6792452831004239,0.5825242719012159,The BBC,Centrist
asset,0.6915887850323172,0.5042881646231564,0.6213592232642096,The BBC,Centrist
lawyer,0.448598130862084,0.6072041166595271,0.4951456311160334,The BBC,Centrist
say,0.6261682243750546,0.5358061749699938,0.7512135922573994,The BBC,Centrist
say,0.6261682243750546,0.5358061749699938,0.7512135922573994,The BBC,Centrist
buy,0.6355140186745567,0.5660377358141041,0.5145631067975304,The BBC,Centrist
legal,0.560747663577605,0.2984562607047889,0.6601941747728344,The BBC,Centrist
reason,0.7254672897535265,0.4219554030866842,0.5873786407851823,The BBC,Centrist
president,0.4112149532435147,0.6072041166595271,0.3883495145037233,The BBC,Centrist
video,0.6915887850323172,0.6380789022550009,0.6796116504543313,The BBC,Centrist
document,0.457943925301773,0.3087478559547381,0.6213592232642096,The BBC,Centrist
leak,0.3925233645043235,0.4972126929756516,0.4326456310614218,The BBC,Centrist
responsible,0.7009345794720062,0.6048291332115575,0.6825989544837474,The BBC,Centrist
scientist,0.7476635513900777,0.5636161840813948,0.6407766990913374,The BBC,Centrist
create,0.7254672897535265,0.6277873070050516,0.7281553398765199,The BBC,Centrist
robotic,0.6915887850323172,0.5042881646231564,0.417475728098784,The BBC,Centrist
hand,0.6542056075539348,0.3499142366457873,0.6310679611777735,The BBC,Centrist
able,0.7058823530236392,0.5969125214095777,0.8058252427481383,The BBC,Centrist
hold,0.551401869137916,0.4734133790276825,0.4951456311160334,The BBC,Centrist
object,0.4766355140409642,0.3807890222412611,0.6310679611777735,The BBC,Centrist
alcoholic,0.1308411214547122,0.9056603773643159,0.2427184465284193,The BBC,Centrist
dog,0.8130841121875272,0.4364847139460616,0.5242718447110942,The BBC,Centrist
make,0.6728971962931259,0.4734133790276825,0.7603155340058558,The BBC,Centrist
recovery,0.8411214953664075,0.2367066895138413,0.5825242719012159,The BBC,Centrist
short,0.5327102803987247,0.4837049742776318,0.4757281552889056,The BBC,Centrist
dog,0.8130841121875272,0.4364847139460616,0.5242718447110942,The BBC,Centrist
northern,0.682242990732815,0.2469982847637905,0.5782766990367258,The BBC,Centrist
peace,0.9357476635951283,0.1595197255251568,0.8058252427481383,The BBC,Centrist
baby,0.8130841121875272,0.3814322469926248,0.563106796074088,The BBC,Centrist
reflect,0.5794392523167962,0.2572898798593659,0.5825242719012159,The BBC,Centrist
good,0.7570093458297666,0.2270583190152557,0.8349514563431991,The BBC,Centrist
agreement,0.7102803739116953,0.4734133790276825,0.7475728155580167,The BBC,Centrist
anniversary,0.775700934568958,0.6895368781959993,0.6310679611777735,The BBC,Centrist
night,0.775700934568958,0.3499142366457873,0.6504854368592704,The BBC,Centrist
give,0.7383177570905756,0.5969125214095777,0.7876213592512253,The BBC,Centrist
speech,0.5981308411961743,0.5145797598731056,0.6699029126863982,The BBC,Centrist
northern,0.682242990732815,0.2469982847637905,0.5782766990367258,The BBC,Centrist
mark,0.5046728972198444,0.4631217839321072,0.6213592232642096,The BBC,Centrist
year,0.4672897196012751,0.3704974271456858,0.4690533980552479,The BBC,Centrist
good,0.7570093458297666,0.2270583190152557,0.8349514563431991,The BBC,Centrist
agreement,0.7102803739116953,0.4734133790276825,0.7475728155580167,The BBC,Centrist
tech,0.7383177570905756,0.4489708404827237,0.5792880258329406,The Financial Times,Centrist
partnership,0.7429906542403266,0.5068610634742372,0.6796116504543313,The Financial Times,Centrist
change,0.8037383177478382,0.7101200686958977,0.6966019417666603,The Financial Times,Centrist
tech,0.7383177570905756,0.4489708404827237,0.5792880258329406,The Financial Times,Centrist
addiction,0.2149532709913529,0.8439108061733683,0.2135922329333585,The Financial Times,Centrist
chef,0.7118380062949456,0.4939965695275811,0.5825242719012159,The Financial Times,Centrist
chocolate,0.8568925234045276,0.690180102947363,0.6601941747728344,The Financial Times,Centrist
price,0.336448598146563,0.5042881646231564,0.427184466012348,The Financial Times,Centrist
pace,0.5794392523167962,0.5217047103713882,0.5705750560748131,The Financial Times,Centrist
four,0.5467289719881648,0.4013722127411596,0.5048543688839664,The Financial Times,Centrist
decade,0.5151869159119246,0.4219554030866842,0.427184466012348,The Financial Times,Centrist
north,0.682242990732815,0.5557461407185287,0.6699029126863982,The Financial Times,Centrist
ghost,0.4766355140409642,0.5660377358141041,0.3786407767357903,The Financial Times,Centrist
ship,0.6728971962931259,0.3729189788783951,0.3871359223191393,The Financial Times,Centrist
spy,0.4018691589440125,0.6998284734459485,0.4599514563067914,The Financial Times,Centrist
film,0.8037383177478382,0.4219554030866842,0.563106796074088,The Financial Times,Centrist
visit,0.7009345794720062,0.5999394611526514,0.6116504854962768,The Financial Times,Centrist
face,0.5950155762894866,0.4013722127411596,0.6310679611777735,The Financial Times,Centrist
battle,0.3837616822609234,0.9365351629597898,0.4563106796074087,The Financial Times,Centrist
asian,0.6904205607799261,0.5248713551230548,0.4757281552889056,The Financial Times,Centrist
finance,0.4007696536168583,0.5351629502186303,0.3980582524172872,The Financial Times,Centrist
minister,0.3644859813254432,0.3807890222412611,0.4077669903308511,The Financial Times,Centrist
talk,0.6542056075539348,0.4682675814798949,0.7087378640493919,The Financial Times,Centrist
building,0.6115654205893254,0.4322469983366334,0.3980582524172872,The Financial Times,Centrist
battery,0.5852803738591252,0.4779159519784805,0.5436893203925912,The Financial Times,Centrist
acquisition,0.560747663577605,0.58177782269421,0.6796116504543313,The Financial Times,Centrist
due,0.4112149532435147,0.8130360205778945,0.4077669903308511,The Financial Times,Centrist
credit,0.4205607476832037,0.4972126929756516,0.4854368932024695,The Financial Times,Centrist
mean,0.224299065431042,0.6895368781959993,0.6213592232642096,The Financial Times,Centrist
new,0.7692757009705269,0.4939965695275811,0.5825242719012159,The Guardian,Left-Wing
rugby,0.4672897196012751,0.5351629502186303,0.4660194175209728,The Guardian,Left-Wing
team,0.6728971962931259,0.5042881646231564,0.7669902912395136,The Guardian,Left-Wing
black,0.5327102803987247,0.5763293310640533,0.6019417475827127,The Guardian,Left-Wing
visit,0.7009345794720062,0.5999394611526514,0.6116504854962768,The Guardian,Left-Wing
voice,0.682242990732815,0.5145797598731056,0.7572815534715807,The Guardian,Left-Wing
democrat,0.5981308411961743,0.452830188682158,0.5922330096691487,The Guardian,Left-Wing
charge,0.5327102803987247,0.7710779787375223,0.4921583270866173,The Guardian,Left-Wing
sign,0.6355140186745567,0.4631217839321072,0.4508495145583348,The Guardian,Left-Wing
weakness,0.2616822430496113,0.452830188682158,0.281553398037044,The Guardian,Left-Wing
bank,0.5981308411961743,0.5660377358141041,0.6699029126863982,The Guardian,Left-Wing
governor,0.417262231982115,0.5068610634742372,0.4031981725148735,The Guardian,Left-Wing
watch,0.6816588785365261,0.4322469983366334,0.572815533987652,The Guardian,Left-Wing
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,The Guardian,Left-Wing
speech,0.5981308411961743,0.5145797598731056,0.6699029126863982,The Guardian,Left-Wing
university,0.6542056075539348,0.7615780446368962,0.6990291262814591,The Guardian,Left-Wing
watch,0.6816588785365261,0.4322469983366334,0.572815533987652,The Guardian,Left-Wing
live,0.6261682243750546,0.6419382504544351,0.8058252427481383,The Guardian,Left-Wing
call,0.551401869137916,0.6483704975049501,0.4660194175209728,The Guardian,Left-Wing
return,0.6168224299353654,0.3910806174912104,0.5825242719012159,The Guardian,Left-Wing
northern,0.682242990732815,0.2469982847637905,0.5782766990367258,The Guardian,Left-Wing
first,0.7476635513900777,0.5969125214095777,0.7475728155580167,The Guardian,Left-Wing
wild,0.7476635513900777,0.7718696398868454,0.5533980583061551,The Guardian,Left-Wing
year,0.4672897196012751,0.3704974271456858,0.4690533980552479,The Guardian,Left-Wing
tree,0.7196261682111974,0.2469982847637905,0.7378640776444527,The Guardian,Left-Wing
camera,0.7342289719969265,0.6483704975049501,0.5436893203925912,The Guardian,Left-Wing
urge,0.5981308411961743,0.7615780446368962,0.2718446601234801,The Guardian,Left-Wing
world,0.694464414144601,0.5969125214095777,0.4757281552889056,The Guardian,Left-Wing
leader,0.5244639912861899,0.8027444254823193,0.6504854368592704,The Guardian,Left-Wing
act,0.6448598131142457,0.5042881646231564,0.7281553398765199,The Guardian,Left-Wing
clip,0.5414719626421248,0.3814322469926248,0.5048543688839664,The Guardian,Left-Wing
caution,0.448598130862084,0.5969125214095777,0.5242718447110942,The Mirror,Left-Wing
police,0.3831775700646344,0.7821612349824207,0.3592233009086624,The Mirror,Left-Wing
sexual,0.7850467290086469,0.8542024014233176,0.4963592233006173,The Mirror,Left-Wing
claim,0.560747663577605,0.3190394510503134,0.6328883495274649,The Mirror,Left-Wing
attend,0.5409565695112596,0.6380789022550009,0.7669902912395136,The Mirror,Left-Wing
king,0.5327102803987247,0.6544243769910972,0.6310679611777735,The Mirror,Left-Wing
rugby,0.4672897196012751,0.5351629502186303,0.4660194175209728,The Mirror,Left-Wing
team,0.6728971962931259,0.5042881646231564,0.7669902912395136,The Mirror,Left-Wing
irish,0.6991822430233262,0.4939965695275811,0.5339805824790272,The Mirror,Left-Wing
military,0.3551401868857542,0.690180102947363,0.281553398037044,The Mirror,Left-Wing
make,0.6728971962931259,0.4734133790276825,0.7603155340058558,The Mirror,Left-Wing
historic,0.6448598131142457,0.5840480274629217,0.3883495145037233,The Mirror,Left-Wing
visit,0.7009345794720062,0.5999394611526514,0.6116504854962768,The Mirror,Left-Wing
northern,0.682242990732815,0.2469982847637905,0.5782766990367258,The Mirror,Left-Wing
know,0.6542056075539348,0.4728079911716921,0.7961165048345744,The Mirror,Left-Wing
wind,0.5794392523167962,0.3807890222412611,0.3786407767357903,The Mirror,Left-Wing
sweep,0.4672897196012751,0.2675814751093151,0.5145631067975304,The Mirror,Left-Wing
white,0.5482866043714152,0.3524871354968681,0.6510922330243778,The Mirror,Left-Wing
house,0.8130841121875272,0.3814322469926248,0.7961165048345744,The Mirror,Left-Wing
battle,0.3837616822609234,0.9365351629597898,0.4563106796074087,The Mirror,Left-Wing
